Date,Difficulty,Category,Word
2024-06-14,Easiest,WRITING ASSIGNMENTS,ARTICLE
2024-06-14,Easiest,WRITING ASSIGNMENTS,ESSAY
2024-06-14,Easiest,WRITING ASSIGNMENTS,PAPER
2024-06-14,Easiest,WRITING ASSIGNMENTS,REPORT
2024-06-14,Easy,THINGS THAT ARE PINK,BUBBLE GUM
2024-06-14,Easy,THINGS THAT ARE PINK,CARNATION
2024-06-14,Easy,THINGS THAT ARE PINK,ERASER
2024-06-14,Easy,THINGS THAT ARE PINK,FLAMINGO
2024-06-14,Medium,NATO PHONETIC ALPHABET,FOXTROT
2024-06-14,Medium,NATO PHONETIC ALPHABET,HOTEL
2024-06-14,Medium,NATO PHONETIC ALPHABET,VICTOR
2024-06-14,Medium,NATO PHONETIC ALPHABET,YANKEE
2024-06-14,Hard,ASSOCIATED WITH #2,DEPUTY
2024-06-14,Hard,ASSOCIATED WITH #2,DEREK JETER
2024-06-14,Hard,ASSOCIATED WITH #2,PENCIL
2024-06-14,Hard,ASSOCIATED WITH #2,SILVER MEDAL
2024-06-12,Easiest,PLACES IN NEW YORK CITY,CHINATOWN
2024-06-12,Easiest,PLACES IN NEW YORK CITY,DUMBO
2024-06-12,Easiest,PLACES IN NEW YORK CITY,MANHATTAN
2024-06-12,Easiest,PLACES IN NEW YORK CITY,WALL STREET
2024-06-12,Easy,RHYMING TITLES,BE KIND REWIND
2024-06-12,Easy,RHYMING TITLES,E
2024-06-12,Easy,RHYMING TITLES,T
2024-06-12,Easy,RHYMING TITLES,
2024-06-12,Easy,RHYMING TITLES,FRIGHT NIGHT
2024-06-12,Easy,RHYMING TITLES,KILL BILL
2024-06-12,Medium,ENDING IN UNITS OF MEASUREMENT,HEDWIG AND THE ANGRY INCH
2024-06-12,Medium,ENDING IN UNITS OF MEASUREMENT,MY LEFT FOOT
2024-06-12,Medium,ENDING IN UNITS OF MEASUREMENT,THE GREEN MILE
2024-06-12,Medium,ENDING IN UNITS OF MEASUREMENT,THE LONGEST YARD
2024-06-12,Hard,STARTING WITH ANIMALS,BEETLEJUICE
2024-06-12,Hard,STARTING WITH ANIMALS,FOXY BROWN
2024-06-12,Hard,STARTING WITH ANIMALS,DOGMA
2024-06-12,Hard,STARTING WITH ANIMALS,OCTOPUSSY
2024-06-11,Easiest,HOMOPHONES,BI
2024-06-11,Easiest,HOMOPHONES,BUY
2024-06-11,Easiest,HOMOPHONES,BY
2024-06-11,Easiest,HOMOPHONES,BYE
2024-06-11,Easy,MUSCLES INFORMALLY,AB
2024-06-11,Easy,MUSCLES INFORMALLY,PEC
2024-06-11,Easy,MUSCLES INFORMALLY,QUAD
2024-06-11,Easy,MUSCLES INFORMALLY,TRI
2024-06-11,Medium,MUSIC GENRES,DUB
2024-06-11,Medium,MUSIC GENRES,EMO
2024-06-11,Medium,MUSIC GENRES,POP
2024-06-11,Medium,MUSIC GENRES,TRAP
2024-06-11,Hard,SETTINGS ON AN APPLIANCE KNOB,HI
2024-06-11,Hard,SETTINGS ON AN APPLIANCE KNOB,LO
2024-06-11,Hard,SETTINGS ON AN APPLIANCE KNOB,MED
2024-06-11,Hard,SETTINGS ON AN APPLIANCE KNOB,OFF
2024-06-10,Easiest,CORE,CRUX
2024-06-10,Easiest,CORE,ESSENCE
2024-06-10,Easiest,CORE,HEART
2024-06-10,Easiest,CORE,SUBSTANCE
2024-06-10,Easy,COMPLICATED,BAROQUE
2024-06-10,Easy,COMPLICATED,COMPLEX
2024-06-10,Easy,COMPLICATED,ELABORATE
2024-06-10,Easy,COMPLICATED,INVOLVED
2024-06-10,Medium,SYMBOLS USED IN MAKING LISTS,ARROW
2024-06-10,Medium,SYMBOLS USED IN MAKING LISTS,BULLET
2024-06-10,Medium,SYMBOLS USED IN MAKING LISTS,CHECKBOX
2024-06-10,Medium,SYMBOLS USED IN MAKING LISTS,HYPHEN
2024-06-10,Hard,WHAT “CROSS” MIGHT MEAN,ANGRY
2024-06-10,Hard,WHAT “CROSS” MIGHT MEAN,BETRAY
2024-06-10,Hard,WHAT “CROSS” MIGHT MEAN,CRUCIFIX
2024-06-10,Hard,WHAT “CROSS” MIGHT MEAN,HYBRID
2024-06-09,Easiest,FEELING SOME TYPE OF WAY,BITTER
2024-06-09,Easiest,FEELING SOME TYPE OF WAY,SALTY
2024-06-09,Easiest,FEELING SOME TYPE OF WAY,SORE
2024-06-09,Easiest,FEELING SOME TYPE OF WAY,UPSET
2024-06-09,Easy,THROW HERE AND THERE,PEPPER
2024-06-09,Easy,THROW HERE AND THERE,SCATTER
2024-06-09,Easy,THROW HERE AND THERE,SPRINKLE
2024-06-09,Easy,THROW HERE AND THERE,STREW
2024-06-09,Medium,THINGS WITH LAYERS,CAKE
2024-06-09,Medium,THINGS WITH LAYERS,EARTH
2024-06-09,Medium,THINGS WITH LAYERS,ONION
2024-06-09,Medium,THINGS WITH LAYERS,PLYWOOD
2024-06-09,Hard,___ POTATO,BAKED
2024-06-09,Hard,___ POTATO,COUCH
2024-06-09,Hard,___ POTATO,HOT
2024-06-09,Hard,___ POTATO,SWEET
2024-06-08,Easiest,GRAB ONE’S ATTENTION,ABSORB
2024-06-08,Easiest,GRAB ONE’S ATTENTION,ENGROSS
2024-06-08,Easiest,GRAB ONE’S ATTENTION,HOLD
2024-06-08,Easiest,GRAB ONE’S ATTENTION,RIVET
2024-06-08,Easy,DOCUMENT WITH VIDEO,FILM
2024-06-08,Easy,DOCUMENT WITH VIDEO,RECORD
2024-06-08,Easy,DOCUMENT WITH VIDEO,SHOOT
2024-06-08,Easy,DOCUMENT WITH VIDEO,TAPE
2024-06-08,Medium,ANAGRAMS,PASTEL
2024-06-08,Medium,ANAGRAMS,PETALS
2024-06-08,Medium,ANAGRAMS,PLEATS
2024-06-08,Medium,ANAGRAMS,STAPLE
2024-06-08,Hard,PRETTY ___,GOOD
2024-06-08,Hard,PRETTY ___,PENNY
2024-06-08,Hard,PRETTY ___,PLEASE
2024-06-08,Hard,PRETTY ___,WOMAN
2024-06-07,Easiest,DREAM UP,CONCEIVE
2024-06-07,Easiest,DREAM UP,ENVISION
2024-06-07,Easiest,DREAM UP,IMAGINE
2024-06-07,Easiest,DREAM UP,PICTURE
2024-06-07,Easy,THIN COVERING,COAT
2024-06-07,Easy,THIN COVERING,FILM
2024-06-07,Easy,THIN COVERING,LAYER
2024-06-07,Easy,THIN COVERING,SKIN
2024-06-07,Medium,REMOVE AS CRUMBS,BRUSH
2024-06-07,Medium,REMOVE AS CRUMBS,FLICK
2024-06-07,Medium,REMOVE AS CRUMBS,SWEEP
2024-06-07,Medium,REMOVE AS CRUMBS,WIPE
2024-06-07,Hard,VERBS FOR A SOFTWARE ENGINEER,CODE
2024-06-07,Hard,VERBS FOR A SOFTWARE ENGINEER,DEVELOP
2024-06-07,Hard,VERBS FOR A SOFTWARE ENGINEER,HACK
2024-06-07,Hard,VERBS FOR A SOFTWARE ENGINEER,PROGRAM
2024-06-06,Easiest,MOVE TO ACTION,DRIVE
2024-06-06,Easiest,MOVE TO ACTION,PROMPT
2024-06-06,Easiest,MOVE TO ACTION,PROPEL
2024-06-06,Easiest,MOVE TO ACTION,PUSH
2024-06-06,Easy,UNO CARDS,DRAW
2024-06-06,Easy,UNO CARDS,REVERSE
2024-06-06,Easy,UNO CARDS,SKIP
2024-06-06,Easy,UNO CARDS,WILD
2024-06-06,Medium,HAIL SIZE COMPARISONS,BASEBALL
2024-06-06,Medium,HAIL SIZE COMPARISONS,GRAPEFRUIT
2024-06-06,Medium,HAIL SIZE COMPARISONS,MARBLE
